state,party,ethnicity,sex,SUM of result
Johor,BARISAN NASIONAL (BN),bumiputera,female,2
Johor,BARISAN NASIONAL (BN),,male,5
Johor,BARISAN NASIONAL (BN),chinese,female,0
Johor,BARISAN NASIONAL (BN),,male,2
Johor,BARISAN NASIONAL (BN),indian,male,0
Johor,BEBAS (BEBAS),bumiputera,male,0
Johor,BEBAS (BEBAS),indian,male,0
Johor,IKATAN DEMOKRATIK MALAYSIA (MUDA),bumiputera,male,1
Johor,IKATAN DEMOKRATIK MALAYSIA (MUDA),chinese,male,0
Johor,PAKATAN HARAPAN (PH),bumiputera,female,2
Johor,PAKATAN HARAPAN (PH),,male,6
Johor,PAKATAN HARAPAN (PH),chinese,female,1
Johor,PAKATAN HARAPAN (PH),,male,4
Johor,PAKATAN HARAPAN (PH),indian,male,1
Johor,PARTI PEJUANG TANAHAIR (PEJUANG),bumiputera,female,0
Johor,PARTI PEJUANG TANAHAIR (PEJUANG),,male,0
Johor,PARTI RAKYAT MALAYSIA (PRM),bumiputera,male,0
Johor,PARTI WARISAN SABAH (WARISAN),bumiputera,male,0
Johor,PERIKATAN NASIONAL (PN),bumiputera,female,0
Johor,PERIKATAN NASIONAL (PN),,male,2
Johor,PERIKATAN NASIONAL (PN),chinese,male,0
Johor,PERIKATAN NASIONAL (PN),indian,male,0
Kedah,BARISAN NASIONAL (BN),bumiputera,female,0
Kedah,BARISAN NASIONAL (BN),,male,0
Kedah,BARISAN NASIONAL (BN),chinese,male,0
Kedah,BARISAN NASIONAL (BN),indian,male,0
Kedah,BEBAS (BEBAS),bumiputera,male,0
Kedah,BEBAS (BEBAS),indian,male,0
Kedah,PAKATAN HARAPAN (PH),bumiputera,female,0
Kedah,PAKATAN HARAPAN (PH),,male,1
Kedah,PAKATAN HARAPAN (PH),chinese,male,0
Kedah,PAKATAN HARAPAN (PH),indian,male,0
Kedah,PARTI PEJUANG TANAHAIR (PEJUANG),bumiputera,male,0
Kedah,PARTI RAKYAT MALAYSIA (PRM),chinese,male,0
Kedah,PARTI WARISAN SABAH (WARISAN),bumiputera,female,0
Kedah,PARTI WARISAN SABAH (WARISAN),,male,0
Kedah,PERIKATAN NASIONAL (PN),bumiputera,male,13
Kedah,PERIKATAN NASIONAL (PN),chinese,male,0
Kelantan,BARISAN NASIONAL (BN),bumiputera,female,0
Kelantan,BARISAN NASIONAL (BN),,male,0
Kelantan,BEBAS (BEBAS),bumiputera,male,0
Kelantan,PAKATAN HARAPAN (PH),bumiputera,female,0
Kelantan,PAKATAN HARAPAN (PH),,male,0
Kelantan,PARTI BUMIPUTERA PERKASA MALAYSIA (PUTRA),bumiputera,male,0
Kelantan,PARTI ISLAM SE MALAYSIA (PAS),bumiputera,female,2
Kelantan,PARTI ISLAM SE MALAYSIA (PAS),,male,12
Kelantan,PARTI PEJUANG TANAHAIR (PEJUANG),bumiputera,female,0
Kelantan,PARTI PEJUANG TANAHAIR (PEJUANG),,male,0
Kelantan,PARTI RAKYAT MALAYSIA (PRM),bumiputera,male,0
Kelantan,PARTI RAKYAT MALAYSIA (PRM),chinese,male,0
Kelantan,PARTI WARISAN SABAH (WARISAN),bumiputera,male,0
Melaka,BARISAN NASIONAL (BN),bumiputera,male,0
Melaka,BARISAN NASIONAL (BN),chinese,male,0
Melaka,BEBAS (BEBAS),bumiputera,male,0
Melaka,IKATAN DEMOKRATIK MALAYSIA (MUDA),bumiputera,male,0
Melaka,PAKATAN HARAPAN (PH),bumiputera,female,0
Melaka,PAKATAN HARAPAN (PH),,male,2
Melaka,PAKATAN HARAPAN (PH),chinese,male,1
Melaka,PARTI PEJUANG TANAHAIR (PEJUANG),bumiputera,male,0
Melaka,PERIKATAN NASIONAL (PN),bumiputera,female,1
Melaka,PERIKATAN NASIONAL (PN),,male,2
Negeri Sembilan,BARISAN NASIONAL (BN),bumiputera,male,5
Negeri Sembilan,BARISAN NASIONAL (BN),chinese,female,0
Negeri Sembilan,BARISAN NASIONAL (BN),,male,0
Negeri Sembilan,BARISAN NASIONAL (BN),indian,male,0
Negeri Sembilan,BEBAS (BEBAS),bumiputera,male,0
Negeri Sembilan,PAKATAN HARAPAN (PH),bumiputera,female,0
Negeri Sembilan,PAKATAN HARAPAN (PH),,male,1
Negeri Sembilan,PAKATAN HARAPAN (PH),chinese,male,2
Negeri Sembilan,PARTI PEJUANG TANAHAIR (PEJUANG),bumiputera,male,0
