State,Age group,Gender,Vote count,Voting % within state,Voting % total,,
Johor,Age 18-20,Male,87465,0.033427286,0.004130844,,
Johor,Age 18-20,Female,82454,0.031512187,0.003894182,,
Johor,Age 21-29,Male,290285,0.110940829,0.013709737,,
Johor,Age 21-29,Female,276060,0.105504333,0.013037911,,
Johor,Age 30-39,Male,288446,0.110238002,0.013622883,,
Johor,Age 30-39,Female,276881,0.105818102,0.013076685,,
Johor,Age 40-49,Male,232225,0.088751517,0.010967648,,
Johor,Age 40-49,Female,227058,0.086776798,0.010723618,,
Johor,Age 50-59,Male,189786,0.072532222,0.008963316,,
Johor,Age 50-59,Female,192377,0.073522448,0.009085685,,
Johor,Age 60-69,Male,135016,0.051600279,0.006376608,,
Johor,Age 60-69,Female,145427,0.055579144,0.006868305,,
Johor,Age 70-79,Male,63415,0.024235881,0.002994998,,
Johor,Age 70-79,Female,74232,0.028369911,0.003505869,,
Johor,Age 80-89,Male,18459,0.007054642,0.000871792,,
Johor,Age 80-89,Female,27581,0.010540879,0.00130261,,
Johor,Age 90+,Male,3997,0.001527569,0.000188772,,
Johor,Age 90+,Female,5411,0.002067971,0.000255554,,
Kedah,Age 18-20,Male,54262,0.034434464,0.002562715,,
Kedah,Age 18-20,Female,51745,0.032837185,0.002443841,,
Kedah,Age 21-29,Male,181654,0.115276954,0.008579253,,
Kedah,Age 21-29,Female,176317,0.111890113,0.008327194,,
Kedah,Age 30-39,Male,175126,0.111134309,0.008270945,,
Kedah,Age 30-39,Female,172103,0.109215925,0.008128173,,
Kedah,Age 40-49,Male,133958,0.085009249,0.006326641,,
Kedah,Age 40-49,Female,132986,0.084392422,0.006280735,,
Kedah,Age 50-59,Male,108075,0.068583994,0.005104224,,
Kedah,Age 50-59,Female,113551,0.072059043,0.005362848,,
Kedah,Age 60-69,Male,76629,0.048628479,0.003619076,,
Kedah,Age 60-69,Female,88530,0.056180809,0.004181143,,
Kedah,Age 70-79,Male,34746,0.022049683,0.001641003,,
Kedah,Age 70-79,Female,44998,0.028555564,0.00212519,,
Kedah,Age 80-89,Male,9809,0.006224755,0.000463265,,
Kedah,Age 80-89,Female,16476,0.010455608,0.000778137,,
Kedah,Age 90+,Male,2133,0.001353594,0.000100738,,
Kedah,Age 90+,Female,2707,0.001717852,0.000127848,,
Kelantan,Age 18-20,Male,50191,0.035729159,0.002370448,,
Kelantan,Age 18-20,Female,48238,0.034338888,0.00227821,,
Kelantan,Age 21-29,Male,168750,0.120127025,0.007969816,,
Kelantan,Age 21-29,Female,166210,0.118318891,0.007849856,,
Kelantan,Age 30-39,Male,173270,0.12334465,0.008183289,,
Kelantan,Age 30-39,Female,170604,0.121446821,0.008057378,,
Kelantan,Age 40-49,Male,118410,0.084291799,0.005592331,,
Kelantan,Age 40-49,Female,116113,0.082656647,0.005483847,,
Kelantan,Age 50-59,Male,88312,0.06286612,0.004170847,,
Kelantan,Age 50-59,Female,92095,0.065559101,0.004349512,,
Kelantan,Age 60-69,Male,61947,0.04409783,0.002925666,,
Kelantan,Age 60-69,Female,67528,0.048070742,0.003189249,,
Kelantan,Age 70-79,Male,27909,0.019867408,0.001318101,,
Kelantan,Age 70-79,Female,33275,0.02368727,0.00157153,,
Kelantan,Age 80-89,Male,6536,0.004652742,0.000308686,,
Kelantan,Age 80-89,Female,10921,0.007774265,0.000515783,,
Kelantan,Age 90+,Male,1851,0.00131766,8.74E-05,,
Kelantan,Age 90+,Female,2603,0.001852982,0.000122936,,
Melaka,Age 18-20,Male,21174,0.032212425,0.001000017,,
Melaka,Age 18-20,Female,20173,0.030689584,0.000952741,,
Melaka,Age 21-29,Male,73078,0.111175007,0.003451367,,
Melaka,Age 21-29,Female,68655,0.104446209,0.003242475,,
Melaka,Age 30-39,Male,72448,0.110216575,0.003421613,,
Melaka,Age 30-39,Female,71057,0.108100419,0.003355918,,
Melaka,Age 40-49,Male,55346,0.084198964,0.002613911,,
Melaka,Age 40-49,Female,55957,0.085128491,0.002642767,,
Melaka,Age 50-59,Male,45182,0.06873627,0.00213388,,
Melaka,Age 50-59,Female,48025,0.073061382,0.002268151,,
Melaka,Age 60-69,Male,34617,0.052663527,0.00163491,,
Melaka,Age 60-69,Female,39140,0.059544456,0.001848525,,
Melaka,Age 70-79,Male,16344,0.02486445,0.000771903,,
Melaka,Age 70-79,Female,21071,0.032055729,0.000995153,,
Melaka,Age 80-89,Male,4867,0.007404263,0.000229861,,
Melaka,Age 80-89,Female,7919,0.012047331,0.000374003,,
Melaka,Age 90+,Male,905,0.001376794,4.27E-05,,
Melaka,Age 90+,Female,1366,0.002078123,6.45E-05,,
Negeri Sembilan,Age 18-20,Male,27774,0.032642076,0.001311725,,
Negeri Sembilan,Age 18-20,Female,25452,0.029913088,0.001202061,,
Negeri Sembilan,Age 21-29,Male,92277,0.108450812,0.004358108,,
Negeri Sembilan,Age 21-29,Female,86876,0.102103154,0.004103027,,
Negeri Sembilan,Age 30-39,Male,97665,0.114783191,0.004612575,,
Negeri Sembilan,Age 30-39,Female,93379,0.109745964,0.004410154,,
Negeri Sembilan,Age 40-49,Male,72364,0.085047569,0.003417646,,
Negeri Sembilan,Age 40-49,Female,71730,0.084302445,0.003387703,,
Negeri Sembilan,Age 50-59,Male,57132,0.067145787,0.002698261,,
Negeri Sembilan,Age 50-59,Female,59678,0.070138036,0.002818505,,
Negeri Sembilan,Age 60-69,Male,46978,0.055212049,0.002218702,,
Negeri Sembilan,Age 60-69,Female,52686,0.061920516,0.002488283,,
Negeri Sembilan,Age 70-79,Male,21417,0.025170856,0.001011494,,
Negeri Sembilan,Age 70-79,Female,25907,0.030447838,0.00122355,,
Negeri Sembilan,Age 80-89,Male,6234,0.007326662,0.000294423,,
Negeri Sembilan,Age 80-89,Female,9971,0.011718663,0.000470916,,
Negeri Sembilan,Age 90+,Male,1481,0.001740582,6.99E-05,,
Negeri Sembilan,Age 90+,Female,1864,0.002190712,8.80E-05,,
Pahang,Age 18-20,Male,38658,0.034001675,0.001825761,,
Pahang,Age 18-20,Female,36121,0.031770254,0.001705942,,
Pahang,Age 21-29,Male,129323,0.113746148,0.006107736,,
Pahang,Age 21-29,Female,121578,0.106934027,0.005741951,,
Pahang,Age 30-39,Male,142870,0.125661422,0.006747541,,
Pahang,Age 30-39,Female,136549,0.120101782,0.00644901,,
Pahang,Age 40-49,Male,100167,0.088101965,0.004730741,,
Pahang,Age 40-49,Female,95786,0.084248653,0.004523833,,
Pahang,Age 50-59,Male,72790,0.064022502,0.003437765,,
Pahang,Age 50-59,Female,74387,0.065427145,0.003513189,,
Pahang,Age 60-69,Male,53659,0.047195816,0.002534236,,
Pahang,Age 60-69,Female,58902,0.051807301,0.002781855,,
Pahang,Age 70-79,Male,26714,0.02349632,0.001261663,,
Pahang,Age 70-79,Female,30066,0.026444574,0.001419973,,
Pahang,Age 80-89,Male,6831,0.006008211,0.000322618,,
Pahang,Age 80-89,Female,9626,0.008466556,0.000454622,,
Pahang,Age 90+,Male,1385,0.001218178,6.54E-05,,
Pahang,Age 90+,Female,1532,0.001347472,7.24E-05,,
Perak,Age 18-20,Male,57386,0.028173592,0.002710257,,
Perak,Age 18-20,Female,54414,0.026714492,0.002569894,,
Perak,Age 21-29,Male,208065,0.102149276,0.009826606,,
Perak,Age 21-29,Female,196271,0.096359025,0.009269593,,
Perak,Age 30-39,Male,225392,0.110655947,0.010644935,,
Perak,Age 30-39,Female,214492,0.105304604,0.010130144,,
Perak,Age 40-49,Male,181010,0.088866654,0.008548838,,
Perak,Age 40-49,Female,170227,0.083572753,0.008039573,,
Perak,Age 50-59,Male,148129,0.072723765,0.006995916,,
Perak,Age 50-59,Female,148832,0.073068902,0.007029118,,
Perak,Age 60-69,Male,115167,0.056541108,0.005439169,,
Perak,Age 60-69,Female,127778,0.062732464,0.006034768,,
Perak,Age 70-79,Male,58363,0.028653249,0.002756399,,
Perak,Age 70-79,Female,73951,0.03630616,0.003492598,,
Perak,Age 80-89,Male,17880,0.008778166,0.000844446,,
Perak,Age 80-89,Female,29252,0.014361236,0.001381529,,
Perak,Age 90+,Male,4424,0.002171958,0.000208939,,
Perak,Age 90+,Female,5839,0.00286665,0.000275767,,
Perlis,Age 18-20,Male,5980,0.030521572,0.000282427,,
Perlis,Age 18-20,Female,5908,0.030154088,0.000279026,,
Perlis,Age 21-29,Male,21211,0.108259709,0.001001765,,
Perlis,Age 21-29,Female,20104,0.102609645,0.000949483,,
Perlis,Age 30-39,Male,23227,0.118549256,0.001096977,,
Perlis,Age 30-39,Female,22354,0.114093514,0.001055747,,
Perlis,Age 40-49,Male,15944,0.081377248,0.000753012,,
Perlis,Age 40-49,Female,15885,0.081076115,0.000750225,,
Perlis,Age 50-59,Male,13115,0.066938196,0.000619402,,
Perlis,Age 50-59,Female,13826,0.070567099,0.000652982,,
Perlis,Age 60-69,Male,10402,0.053091202,0.000491271,,
Perlis,Age 60-69,Female,11703,0.059731431,0.000552716,,
Perlis,Age 70-79,Male,5364,0.027377544,0.000253334,,
Perlis,Age 70-79,Female,6413,0.032731579,0.000302877,,
Perlis,Age 80-89,Male,1496,0.007635497,7.07E-05,,
Perlis,Age 80-89,Female,2321,0.011846249,0.000109617,,
Perlis,Age 90+,Male,284,0.001449519,1.34E-05,,
Perlis,Age 90+,Female,390,0.001990537,1.84E-05,,
Pulau Pinang,Age 18-20,Male,34885,0.028439802,0.001647568,,
Pulau Pinang,Age 18-20,Female,33197,0.027063669,0.001567846,,
Pulau Pinang,Age 21-29,Male,118309,0.096450752,0.005587561,,
